Followee,ID,Date,UserID,Follower,Tweets
AmericanHeartJournal,6243850,1980-03-31,75737651,GeorgescuLeonidaDiosiPeterBuiuIoanPlavoinLiviaHerzogGeorgeta,coronaviruses balkan nephritis
AmericanHeartJournal,7355701,1980-03-31,24445912,FriedmanGaryD,cigarette smoking coronary heart disease evidence reactions
TheAmericanJournalofMedicine,4579077,1973-08-31,66541372,BrunnerCarolynMHorwitzDavidAShannMaryKSturgillBenjaminADavisJohnS,clinical immunologic studies identical twins discordant systemic lupus erythematosus
TheAmericanJournalofMedicine,4014285,1985-06-28,59234748,GaribaldiRichardA,epidemiology communityacquired respiratory tract infections adults incidence etiology impact
TheAmericanJournalofMedicine,2861742,1985-06-28,74456481,CanteyJRobert,infectious diarrhea pathogenesis risk factors
TheAmericanJournalofMedicine,3052052,1988-10-14,29161805,ZvaiflerNathanJ,new perspectives pathogenesis rheumatoid arthritis
TheAmericanJournalofMedicine,3048091,1988-09-16,44943905,EllnerJerroldJ,management acute chronic respiratory tract infections
TheAmericanJournalofMedicine,1621745,1992-06-22,81132411,DereWillardH,acute bronchitis european trials antibiotic therapy
AmericanJournalofOphthalmology,170831,1975-10-31,87509459,KnopfHarryLSHierholzerJohnC,clinical immunologic responses patients viral keratoconjunctivitis
AnalyticalBiochemistry,3389520,1988-04-30,27190343,RomanoMariaCStraubKennethMYodisLeeAnnPEckardtReginaDNewtonJohnF,determination microsomal lauric acid hydroxylase activity hplc flowthrough radiochemical quantitation
ArchivesofBiochemistryandBiophysics,1716878,1991-10-31,7980782,ProchaskaLawrenceJWilsonKathrynS,phospholipid vesicles bovine heart mitochondrial cytochrome oxidase exhibit proton translocating activity presence gramicidin
BiochimicaetBiophysicaActaBBABiomembranes,8093665,1993-01-18,59141647,PlakidouDymockStellaMcGivanJohnD,the oligomeric structure renal aminopeptidase bovine brushborder membrane vesicles
BiochemicalandBiophysicalResearchCommunications,2409966,1985-06-28,92178989,CherelIsabelleGrosclaudeJeanneRouzePierre,monoclonal antibodies identify multiple epitopes maize leaf nitrate reductase
BiochemicalandBiophysicalResearchCommunications,2539121,1989-03-15,88099324,CrmenesRSFreijeJPMolinaMMMartnJM,predict program protein structure prediction
BiochemicalPharmacology,3017357,1986-08-01,96658550,KrzystyniakKrzysztofBernierJacquesHugoPatriceFournierMichel,suppression mhv virusactivated macrophages dieldrin
